a	pref_name
(10670,"SINGLE PROTEIN","Neuronal acetylcholine receptor protein alpha-4 subunit",9606,"Homo sapiens",CHEMBL1882,0)	Neuronal acetylcholine receptor protein alpha-4 subunit
(10673,"SINGLE PROTEIN","Cytochrome P450 11A1",9913,"Bos taurus",CHEMBL4813,0)	Cytochrome P450 11A1
(10674,"SINGLE PROTEIN","Beta secretase 2",9606,"Homo sapiens",CHEMBL2525,0)	Beta secretase 2
(10675,"SINGLE PROTEIN",Beta-galactosidase,9606,"Homo sapiens",CHEMBL2522,0)	Beta-galactosidase
(10676,"SINGLE PROTEIN",Beta-glucuronidase,10116,"Rattus norvegicus",CHEMBL4814,0)	Beta-glucuronidase
(10677,"SINGLE PROTEIN","Bradykinin B1 receptor",10116,"Rattus norvegicus",CHEMBL4613,0)	Bradykinin B1 receptor
(10678,"SINGLE PROTEIN","Sialidase 2",9606,"Homo sapiens",CHEMBL3200,0)	Sialidase 2
(10679,"SINGLE PROTEIN","Bombesin receptor subtype-3",9606,"Homo sapiens",CHEMBL4080,0)	Bombesin receptor subtype-3
(10682,"SINGLE PROTEIN","Neuropeptide FF receptor 2",10116,"Rattus norvegicus",CHEMBL3425,0)	Neuropeptide FF receptor 2
(10683,"SINGLE PROTEIN",Nicastrin,9606,"Homo sapiens",CHEMBL3418,0)	Nicastrin
(10684,"SINGLE PROTEIN","Complement C1s",9606,"Homo sapiens",CHEMBL3913,0)	Complement C1s
(10685,"SINGLE PROTEIN","Neurokinin 1 receptor",10116,"Rattus norvegicus",CHEMBL4027,0)	Neurokinin 1 receptor
(10686,"SINGLE PROTEIN","Neurokinin 2 receptor",9913,"Bos taurus",CHEMBL4815,0)	Neurokinin 2 receptor
(10687,"SINGLE PROTEIN","Muscarinic acetylcholine receptor M4",10090,"Mus musculus",CHEMBL4572,0)	Muscarinic acetylcholine receptor M4
(10688,"SINGLE PROTEIN","Muscarinic acetylcholine receptor M5",10116,"Rattus norvegicus",CHEMBL277,0)	Muscarinic acetylcholine receptor M5
(10689,"SINGLE PROTEIN",ADAM17,10116,"Rattus norvegicus",CHEMBL2523,0)	ADAM17
(10691,"SINGLE PROTEIN","Alcohol dehydrogenase class IV",9606,"Homo sapiens",CHEMBL3867,0)	Alcohol dehydrogenase class IV
(10692,"SINGLE PROTEIN","Angiotensin II type 2 (AT-2) receptor",9606,"Homo sapiens",CHEMBL4607,0)	Angiotensin II type 2 (AT-2) receptor
(10693,"SINGLE PROTEIN","Alpha-galactosidase A",9606,"Homo sapiens",CHEMBL2524,0)	Alpha-galactosidase A
(10694,"SINGLE PROTEIN","Aryl hydrocarbon receptor",9606,"Homo sapiens",CHEMBL3201,0)	Aryl hydrocarbon receptor
(10695,"SINGLE PROTEIN","Serine/threonine-protein kinase AKT2",9606,"Homo sapiens",CHEMBL2431,0)	Serine/threonine-protein kinase AKT2
(10696,"SINGLE PROTEIN","Serine/threonine-protein kinase AKT3",9606,"Homo sapiens",CHEMBL4816,0)	Serine/threonine-protein kinase AKT3
(10697,"SINGLE PROTEIN","Serum albumin",9606,"Homo sapiens",CHEMBL3253,0)	Serum albumin
(10698,"SINGLE PROTEIN","Serum albumin",10116,"Rattus norvegicus",CHEMBL4817,0)	Serum albumin
(10701,"SINGLE PROTEIN","Methionine aminopeptidase 1",559292,"Saccharomyces cerevisiae S288c",CHEMBL2526,0)	Methionine aminopeptidase 1
(10702,"SINGLE PROTEIN","Methionine aminopeptidase 2",9606,"Homo sapiens",CHEMBL3922,0)	Methionine aminopeptidase 2
(10703,"SINGLE PROTEIN","Aminopeptidase B",9606,"Homo sapiens",CHEMBL2432,0)	Aminopeptidase B
(10705,"SINGLE PROTEIN","Pancreatic alpha-amylase",9606,"Homo sapiens",CHEMBL2045,0)	Pancreatic alpha-amylase
(10706,"SINGLE PROTEIN","Salivary alpha-amylase",9606,"Homo sapiens",CHEMBL2478,0)	Salivary alpha-amylase
(10707,"SINGLE PROTEIN","Atrial natriuretic peptide receptor B",9913,"Bos taurus",CHEMBL2156,0)	Atrial natriuretic peptide receptor B
(10708,"SINGLE PROTEIN","Atrial natriuretic peptide receptor B",9606,"Homo sapiens",CHEMBL1795,0)	Atrial natriuretic peptide receptor B
(10709,"SINGLE PROTEIN","Monoamine oxidase A",9913,"Bos taurus",CHEMBL3254,0)	Monoamine oxidase A
(10710,"SINGLE PROTEIN","Apelin receptor",10116,"Rattus norvegicus",CHEMBL2398,0)	Apelin receptor
(10711,"SINGLE PROTEIN","G-protein coupled receptor kinase 2",9606,"Homo sapiens",CHEMBL4079,0)	G-protein coupled receptor kinase 2
(10712,"SINGLE PROTEIN",Cerebroside-sulfatase,9606,"Homo sapiens",CHEMBL2193,0)	Cerebroside-sulfatase
(10713,"SINGLE PROTEIN",N-acetylgalactosamine-4-sulfatase,9606,"Homo sapiens",CHEMBL2399,0)	N-acetylgalactosamine-4-sulfatase
(10714,"SINGLE PROTEIN","Arylamine N-acetyltransferase 2",9606,"Homo sapiens",CHEMBL2194,0)	Arylamine N-acetyltransferase 2
(10715,"SINGLE PROTEIN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3",9606,"Homo sapiens",CHEMBL2401,0)	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3
(10716,"SINGLE PROTEIN","Spermidine/spermine N(1)-acetyltransferase 1",10090,"Mus musculus",CHEMBL4775,0)	Spermidine/spermine N(1)-acetyltransferase 1
(10717,"SINGLE PROTEIN","Activating transcription factor 1",9606,"Homo sapiens",CHEMBL3255,0)	Activating transcription factor 1
(10720,"SINGLE PROTEIN","Potassium-transporting ATPase beta chain",10116,"Rattus norvegicus",CHEMBL4771,0)	Potassium-transporting ATPase beta chain
(10725,"SINGLE PROTEIN","Tyrosine aminotransferase",9606,"Homo sapiens",CHEMBL3043,0)	Tyrosine aminotransferase
(10727,"SINGLE PROTEIN","Beta-1 adrenergic receptor",10090,"Mus musculus",CHEMBL3440,0)	Beta-1 adrenergic receptor
(10728,"SINGLE PROTEIN","Beta-1 adrenergic receptor",10116,"Rattus norvegicus",CHEMBL3252,0)	Beta-1 adrenergic receptor
(10730,"SINGLE PROTEIN","Prohormone convertase 2",9606,"Homo sapiens",CHEMBL2433,0)	Prohormone convertase 2
(10732,"SINGLE PROTEIN","AICAR transformylase",9606,"Homo sapiens",CHEMBL2518,0)	AICAR transformylase
(10733,"SINGLE PROTEIN",Beta-glucocerebrosidase,9606,"Homo sapiens",CHEMBL2179,0)	Beta-glucocerebrosidase
(10734,"SINGLE PROTEIN","Neutral alpha-glucosidase AB",9606,"Homo sapiens",CHEMBL2519,0)	Neutral alpha-glucosidase AB
(10736,"SINGLE PROTEIN","Neutral alpha-glucosidase C",9606,"Homo sapiens",CHEMBL2520,0)	Neutral alpha-glucosidase C
(10738,"SINGLE PROTEIN",Neuraminidase,107412,"Influenza B virus (strain B/Lee/1940)",CHEMBL3377,0)	Neuraminidase
(10739,"SINGLE PROTEIN","Microbial collagenase",195102,"Clostridium perfringens (strain 13 / Type A)",CHEMBL2802,0)	Microbial collagenase
(10741,"SINGLE PROTEIN","Cytochrome P450 51",10116,"Rattus norvegicus",CHEMBL4981,0)	Cytochrome P450 51
(10742,"SINGLE PROTEIN","Geranylgeranyl transferase type I beta subunit",9606,"Homo sapiens",CHEMBL4135,0)	Geranylgeranyl transferase type I beta subunit
(10743,"SINGLE PROTEIN","Cytochrome P450 4F2",9606,"Homo sapiens",CHEMBL3379,0)	Cytochrome P450 4F2
(10744,"SINGLE PROTEIN",Phenylalanine-4-hydroxylase,9606,"Homo sapiens",CHEMBL3076,0)	Phenylalanine-4-hydroxylase
(10745,"SINGLE PROTEIN",Phenylalanine-4-hydroxylase,10116,"Rattus norvegicus",CHEMBL3077,0)	Phenylalanine-4-hydroxylase
(10746,"SINGLE PROTEIN","Cytochrome P450 2D18",10116,"Rattus norvegicus",CHEMBL4982,0)	Cytochrome P450 2D18
(10747,"SINGLE PROTEIN",Thrombin,10116,"Rattus norvegicus",CHEMBL3078,0)	Thrombin
(10748,"SINGLE PROTEIN","Thiamine transporter 1",9606,"Homo sapiens",CHEMBL3079,0)	Thiamine transporter 1
(10750,"SINGLE PROTEIN","Tissue inhibitor of metalloproteinases-3",10116,"Rattus norvegicus",CHEMBL3881,0)	Tissue inhibitor of metalloproteinases-3
(10751,"SINGLE PROTEIN","Inhibitor of nuclear factor kappa B kinase alpha subunit",9606,"Homo sapiens",CHEMBL3476,0)	Inhibitor of nuclear factor kappa B kinase alpha subunit
(10752,"SINGLE PROTEIN","Inhibitor of nuclear factor kappa B kinase beta subunit",9606,"Homo sapiens",CHEMBL1991,0)	Inhibitor of nuclear factor kappa B kinase beta subunit
(10754,"SINGLE PROTEIN","Chitinase 1",9606,"Homo sapiens",CHEMBL3080,0)	Chitinase 1
(10756,"SINGLE PROTEIN","Protein-tyrosine phosphatase G1",9606,"Homo sapiens",CHEMBL3236,0)	Protein-tyrosine phosphatase G1
(10759,"SINGLE PROTEIN","DNA polymerase III",224308,"Bacillus subtilis (strain 168)",CHEMBL3897,0)	DNA polymerase III
(10763,"SINGLE PROTEIN","Cytochrome P450 11B2",10116,"Rattus norvegicus",CHEMBL3237,0)	Cytochrome P450 11B2
(10764,"SINGLE PROTEIN","Carnitine palmitoyltransferase 1A",10116,"Rattus norvegicus",CHEMBL3858,0)	Carnitine palmitoyltransferase 1A
(10765,"SINGLE PROTEIN","Carnitine palmitoyltransferase 2",9606,"Homo sapiens",CHEMBL3238,0)	Carnitine palmitoyltransferase 2
(10766,"SINGLE PROTEIN","Cytochrome P450 19A1",10116,"Rattus norvegicus",CHEMBL3859,0)	Cytochrome P450 19A1
(10767,"SINGLE PROTEIN","Liver glycogen phosphorylase",10116,"Rattus norvegicus",CHEMBL3239,0)	Liver glycogen phosphorylase
(10768,"SINGLE PROTEIN","Brain glycogen phosphorylase",9606,"Homo sapiens",CHEMBL3856,0)	Brain glycogen phosphorylase
(10769,"SINGLE PROTEIN",Transketolase,9606,"Homo sapiens",CHEMBL4983,0)	Transketolase
(10770,"SINGLE PROTEIN","Interleukin-2 receptor beta chain",9606,"Homo sapiens",CHEMBL3276,0)	Interleukin-2 receptor beta chain
(10773,"SINGLE PROTEIN","Interleukin-8 receptor B",9606,"Homo sapiens",CHEMBL2434,0)	Interleukin-8 receptor B
(10774,"SINGLE PROTEIN",TNF-alpha,10090,"Mus musculus",CHEMBL4984,0)	TNF-alpha
(10775,"SINGLE PROTEIN","Fucosyltransferase 9",9606,"Homo sapiens",CHEMBL4985,0)	Fucosyltransferase 9
(10777,"SINGLE PROTEIN","Uracil-DNA glycosylase",9606,"Homo sapiens",CHEMBL3277,0)	Uracil-DNA glycosylase
(10778,"SINGLE PROTEIN","Death-associated protein kinase 2",9606,"Homo sapiens",CHEMBL3123,0)	Death-associated protein kinase 2
(10780,"SINGLE PROTEIN","Lysosomal phospholipase A2",9606,"Homo sapiens",CHEMBL4986,0)	Lysosomal phospholipase A2
(10781,"SINGLE PROTEIN","Serine/threonine-protein kinase Aurora-B",9606,"Homo sapiens",CHEMBL2185,0)	Serine/threonine-protein kinase Aurora-B
(10782,"SINGLE PROTEIN","Ribosomal protein S6 kinase alpha 4",9606,"Homo sapiens",CHEMBL3125,0)	Ribosomal protein S6 kinase alpha 4
(10784,"SINGLE PROTEIN","Deoxynucleoside kinase",7227,"Drosophila melanogaster",CHEMBL4760,0)	Deoxynucleoside kinase
(10785,"SINGLE PROTEIN","C3a anaphylatoxin chemotactic receptor",9606,"Homo sapiens",CHEMBL4761,0)	C3a anaphylatoxin chemotactic receptor
(10788,"SINGLE PROTEIN","Tubulin beta-5 chain",9606,"Homo sapiens",CHEMBL5444,0)	Tubulin beta-5 chain
(10790,"SINGLE PROTEIN","Inosine-5'-monophosphate dehydrogenase",83333,"Escherichia coli K-12",CHEMBL3630,0)	Inosine-5'-monophosphate dehydrogenase
(10791,"SINGLE PROTEIN","Thymidine phosphorylase",83333,"Escherichia coli K-12",CHEMBL3726,0)	Thymidine phosphorylase
(10792,"SINGLE PROTEIN","Thymidylate synthase",83333,"Escherichia coli K-12",CHEMBL2555,0)	Thymidylate synthase
(10794,"SINGLE PROTEIN","Porphobilinogen synthase",9606,"Homo sapiens",CHEMBL3126,0)	Porphobilinogen synthase
(80047,CELL-LINE,Beta-TC3,10090,"Mus musculus",CHEMBL614063,0)	Beta-TC3
(10796,"SINGLE PROTEIN","Corticotropin releasing factor receptor 1",10116,"Rattus norvegicus",CHEMBL4649,0)	Corticotropin releasing factor receptor 1
(10797,"SINGLE PROTEIN","Corticotropin releasing factor receptor 2",9606,"Homo sapiens",CHEMBL4069,0)	Corticotropin releasing factor receptor 2
(10799,"SINGLE PROTEIN","Phospholipase C-delta-1",9606,"Homo sapiens",CHEMBL3727,0)	Phospholipase C-delta-1
(10803,"SINGLE PROTEIN","Insulin receptor",10090,"Mus musculus",CHEMBL3187,0)	Insulin receptor
(10804,"SINGLE PROTEIN","HLA class I histocompatibility antigen A-3",9606,"Homo sapiens",CHEMBL2632,0)	HLA class I histocompatibility antigen A-3
(10805,"SINGLE PROTEIN","Low affinity neurotrophin receptor p75NTR",9606,"Homo sapiens",CHEMBL4762,0)	Low affinity neurotrophin receptor p75NTR
(10806,"SINGLE PROTEIN","Tumor necrosis factor receptor R1",9606,"Homo sapiens",CHEMBL3378,0)	Tumor necrosis factor receptor R1
(10808,"SINGLE PROTEIN","Lysophosphatidic acid receptor Edg-2",9606,"Homo sapiens",CHEMBL3819,0)	Lysophosphatidic acid receptor Edg-2
(10809,"SINGLE PROTEIN","Sphingosine 1-phosphate receptor Edg-6",9606,"Homo sapiens",CHEMBL3230,0)	Sphingosine 1-phosphate receptor Edg-6
(10810,"SINGLE PROTEIN","Protein tyrosine phosphatase receptor type C-associated protein",9606,"Homo sapiens",CHEMBL4806,0)	Protein tyrosine phosphatase receptor type C-associated protein
(10811,"SINGLE PROTEIN","Rho-associated protein kinase 1",9606,"Homo sapiens",CHEMBL3231,0)	Rho-associated protein kinase 1
(10813,"SINGLE PROTEIN","Phospholipase A2 (Bee)",7460,"Apis mellifera",CHEMBL4807,0)	Phospholipase A2 (Bee)
(10814,"SINGLE PROTEIN","Lysophosphatidic acid receptor Edg-4",9606,"Homo sapiens",CHEMBL3724,0)	Lysophosphatidic acid receptor Edg-4
(10815,"SINGLE PROTEIN","Adenomatous polyposis coli protein",9606,"Homo sapiens",CHEMBL3233,0)	Adenomatous polyposis coli protein
(10818,"SINGLE PROTEIN","Voltage-gated L-type calcium channel alpha-1S subunit",9606,"Homo sapiens",CHEMBL3805,0)	Voltage-gated L-type calcium channel alpha-1S subunit
(10819,"SINGLE PROTEIN","Acetylcholine receptor protein alpha chain",9606,"Homo sapiens",CHEMBL4808,0)	Acetylcholine receptor protein alpha chain
(10824,"SINGLE PROTEIN","Prostatic acid phosphatase",9606,"Homo sapiens",CHEMBL2633,0)	Prostatic acid phosphatase
(10825,"SINGLE PROTEIN","Tryptophan 5-monooxygenase 1",10116,"Rattus norvegicus",CHEMBL4809,0)	Tryptophan 5-monooxygenase 1
(10827,"SINGLE PROTEIN",Trehalase,9606,"Homo sapiens",CHEMBL3087,0)	Trehalase
(10832,"SINGLE PROTEIN","Terminal deoxynucleotidyltransferase",9606,"Homo sapiens",CHEMBL4810,0)	Terminal deoxynucleotidyltransferase
(10834,"SINGLE PROTEIN","Uridine phosphorylase 1",9606,"Homo sapiens",CHEMBL4811,0)	Uridine phosphorylase 1
(10836,"SINGLE PROTEIN","Kallikrein 8",9606,"Homo sapiens",CHEMBL4812,0)	Kallikrein 8
(10839,"SINGLE PROTEIN","Serine/threonine-protein kinase PIM1",9606,"Homo sapiens",CHEMBL2147,0)	Serine/threonine-protein kinase PIM1
(10841,"SINGLE PROTEIN","Peripheral-type benzodiazepine receptor",10116,"Rattus norvegicus",CHEMBL4552,0)	Peripheral-type benzodiazepine receptor
(10842,"SINGLE PROTEIN","Protein kinase N2",9606,"Homo sapiens",CHEMBL3032,0)	Protein kinase N2
(10844,"SINGLE PROTEIN","Tyrosine-protein kinase CSK",9606,"Homo sapiens",CHEMBL2634,0)	Tyrosine-protein kinase CSK
(10845,"SINGLE PROTEIN","Phospholipase D1",9606,"Homo sapiens",CHEMBL2536,0)	Phospholipase D1
(10849,"SINGLE PROTEIN","Tyrosine-protein kinase JAK3",9606,"Homo sapiens",CHEMBL2148,0)	Tyrosine-protein kinase JAK3
(10850,"SINGLE PROTEIN","Ribosomal protein S6 kinase alpha 5",9606,"Homo sapiens",CHEMBL4237,0)	Ribosomal protein S6 kinase alpha 5
(10851,"SINGLE PROTEIN","Phenylalanyl-tRNA synthetase mitochondrial",9606,"Homo sapiens",CHEMBL2511,0)	Phenylalanyl-tRNA synthetase mitochondrial
(10853,"SINGLE PROTEIN","Kallikrein 13",9606,"Homo sapiens",CHEMBL4863,0)	Kallikrein 13
(10854,"SINGLE PROTEIN","Kallikrein 14",9606,"Homo sapiens",CHEMBL2641,0)	Kallikrein 14
(10856,"SINGLE PROTEIN","Myosin light chain kinase, smooth muscle",9031,"Gallus gallus",CHEMBL3062,0)	Myosin light chain kinase, smooth muscle
(10857,"SINGLE PROTEIN","Hypoxia-inducible factor prolyl hydroxylase 1",9606,"Homo sapiens",CHEMBL3028,0)	Hypoxia-inducible factor prolyl hydroxylase 1
(10862,"SINGLE PROTEIN","Adenylate cyclase type V",10116,"Rattus norvegicus",CHEMBL2880,0)	Adenylate cyclase type V
(10865,"SINGLE PROTEIN","Inositol 1,4,5-trisphosphate receptor type 3",10116,"Rattus norvegicus",CHEMBL2846,0)	Inositol 1,4,5-trisphosphate receptor type 3
(10866,"SINGLE PROTEIN",Serotransferrin,9606,"Homo sapiens",CHEMBL4865,0)	Serotransferrin
(10868,"SINGLE PROTEIN","Leukotriene B4 receptor 2",9606,"Homo sapiens",CHEMBL3191,0)	Leukotriene B4 receptor 2
(10869,"SINGLE PROTEIN","Histone deacetylase 8",9606,"Homo sapiens",CHEMBL3192,0)	Histone deacetylase 8
(10870,"SINGLE PROTEIN","Glutathione S-transferase A3",9606,"Homo sapiens",CHEMBL4866,0)	Glutathione S-transferase A3
(10871,"SINGLE PROTEIN","Purinergic receptor P2Y11",9606,"Homo sapiens",CHEMBL4867,0)	Purinergic receptor P2Y11
(10872,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor alpha",9615,"Canis lupus familiaris",CHEMBL2847,0)	Peroxisome proliferator-activated receptor alpha
(10873,"SINGLE PROTEIN","Aminopeptidase A",9823,"Sus scrofa",CHEMBL4868,0)	Aminopeptidase A
(10874,"SINGLE PROTEIN","Dipeptidyl peptidase IV",9913,"Bos taurus",CHEMBL2559,0)	Dipeptidyl peptidase IV
(10876,"SINGLE PROTEIN","Protein kinase C delta",10090,"Mus musculus",CHEMBL2560,0)	Protein kinase C delta
(10877,"SINGLE PROTEIN","Protein kinase C delta",10116,"Rattus norvegicus",CHEMBL3633,0)	Protein kinase C delta
(10878,"SINGLE PROTEIN","Protein kinase C epsilon",9606,"Homo sapiens",CHEMBL3582,0)	Protein kinase C epsilon
(10879,"SINGLE PROTEIN","Protein kinase C epsilon",10116,"Rattus norvegicus",CHEMBL3424,0)	Protein kinase C epsilon
(10880,"SINGLE PROTEIN","Protein kinase C gamma",9606,"Homo sapiens",CHEMBL2938,0)	Protein kinase C gamma
(10881,"SINGLE PROTEIN","Poly [ADP-ribose] polymerase-2",10090,"Mus musculus",CHEMBL2794,0)	Poly [ADP-ribose] polymerase-2
(10885,"SINGLE PROTEIN","Protein kinase C nu",9606,"Homo sapiens",CHEMBL2595,0)	Protein kinase C nu
(10886,"SINGLE PROTEIN","Progesterone receptor",10116,"Rattus norvegicus",CHEMBL2596,0)	Progesterone receptor
(10887,"SINGLE PROTEIN","Prion protein",9606,"Homo sapiens",CHEMBL4869,0)	Prion protein
(10888,"SINGLE PROTEIN",Lactotransferrin,9913,"Bos taurus",CHEMBL2796,0)	Lactotransferrin
(10889,"SINGLE PROTEIN","Thyrotropin-releasing hormone receptor",10116,"Rattus norvegicus",CHEMBL4553,0)	Thyrotropin-releasing hormone receptor
(10891,"SINGLE PROTEIN","Potassium channel, inwardly rectifying, subfamily J, member 8",9606,"Homo sapiens",CHEMBL4770,0)	Potassium channel, inwardly rectifying, subfamily J, member 8
(10892,"SINGLE PROTEIN","Integrin alpha-4",9606,"Homo sapiens",CHEMBL278,0)	Integrin alpha-4
(10893,"SINGLE PROTEIN","Tubulin beta-3 chain",9606,"Homo sapiens",CHEMBL2597,0)	Tubulin beta-3 chain
(10895,"SINGLE PROTEIN","Adenylate cyclase type IX",9606,"Homo sapiens",CHEMBL2655,0)	Adenylate cyclase type IX
(10899,"SINGLE PROTEIN","Pyruvate dehydrogenase kinase isoform 2",9606,"Homo sapiens",CHEMBL3861,0)	Pyruvate dehydrogenase kinase isoform 2
(10900,"SINGLE PROTEIN","Sphingosine kinase 2",9606,"Homo sapiens",CHEMBL3023,0)	Sphingosine kinase 2
(10901,"SINGLE PROTEIN","Protein kinase C iota",9606,"Homo sapiens",CHEMBL2598,0)	Protein kinase C iota
(10903,"SINGLE PROTEIN","Protein kinase C mu",9606,"Homo sapiens",CHEMBL3863,0)	Protein kinase C mu
(10904,"SINGLE PROTEIN","Serine/threonine-protein kinase RAF",9606,"Homo sapiens",CHEMBL1906,0)	Serine/threonine-protein kinase RAF
(10906,"SINGLE PROTEIN","Tyrosine-protein kinase SYK",9606,"Homo sapiens",CHEMBL2599,0)	Tyrosine-protein kinase SYK
(80048,CELL-LINE,BXPC-3,9606,"Homo sapiens",CHEMBL614530,0)	BXPC-3
(10907,"SINGLE PROTEIN","Serine/threonine-protein kinase PLK1",9606,"Homo sapiens",CHEMBL3024,0)	Serine/threonine-protein kinase PLK1
(10908,"SINGLE PROTEIN",Plasminogen,9913,"Bos taurus",CHEMBL2957,0)	Plasminogen
(10909,"SINGLE PROTEIN",Beta-chymotrypsin,9606,"Homo sapiens",CHEMBL4796,0)	Beta-chymotrypsin
(10910,"SINGLE PROTEIN","Chymotrypsin-like protease CTRL-1",9606,"Homo sapiens",CHEMBL4873,0)	Chymotrypsin-like protease CTRL-1
(10911,"SINGLE PROTEIN","Phenylethanolamine N-methyltransferase",9606,"Homo sapiens",CHEMBL4617,0)	Phenylethanolamine N-methyltransferase
(10912,"SINGLE PROTEIN","Phenylethanolamine N-methyltransferase",10090,"Mus musculus",CHEMBL4874,0)	Phenylethanolamine N-methyltransferase
(10913,"SINGLE PROTEIN","Adenylosuccinate synthetase 2",9606,"Homo sapiens",CHEMBL4875,0)	Adenylosuccinate synthetase 2
(10914,"SINGLE PROTEIN","Adenylate cyclase type II",10116,"Rattus norvegicus",CHEMBL2958,0)	Adenylate cyclase type II
(10917,"SINGLE PROTEIN","Integrin beta-7",9606,"Homo sapiens",CHEMBL2979,0)	Integrin beta-7
(10918,"SINGLE PROTEIN","Tyrosine-protein kinase ITK/TSK",9606,"Homo sapiens",CHEMBL2959,0)	Tyrosine-protein kinase ITK/TSK
(10919,"SINGLE PROTEIN","Tyrosine-protein kinase JAK1",9606,"Homo sapiens",CHEMBL2835,0)	Tyrosine-protein kinase JAK1
(10920,"SINGLE PROTEIN","Tyrosine-protein kinase JAK1",10090,"Mus musculus",CHEMBL2968,0)	Tyrosine-protein kinase JAK1
(10925,"SINGLE PROTEIN",Kynureninase,9606,"Homo sapiens",CHEMBL5100,0)	Kynureninase
(10926,"SINGLE PROTEIN","Carboxypeptidase B",9606,"Homo sapiens",CHEMBL2552,0)	Carboxypeptidase B
(10927,"SINGLE PROTEIN","Urotensin II receptor",9606,"Homo sapiens",CHEMBL3764,0)	Urotensin II receptor
(10928,"SINGLE PROTEIN","Urotensin II receptor",10116,"Rattus norvegicus",CHEMBL4921,0)	Urotensin II receptor
(10929,"SINGLE PROTEIN","Ribosomal protein S6 kinase alpha 1",9606,"Homo sapiens",CHEMBL2553,0)	Ribosomal protein S6 kinase alpha 1
(10930,"SINGLE PROTEIN","Vasopressin V2 receptor",10116,"Rattus norvegicus",CHEMBL3766,0)	Vasopressin V2 receptor
(10931,"SINGLE PROTEIN","LDL receptor",9606,"Homo sapiens",CHEMBL3311,0)	LDL receptor
(10932,"SINGLE PROTEIN","Selectin E",10116,"Rattus norvegicus",CHEMBL2554,0)	Selectin E
(10936,"SINGLE PROTEIN","Adenylate cyclase type VIII",9606,"Homo sapiens",CHEMBL2960,0)	Adenylate cyclase type VIII
(10938,"SINGLE PROTEIN","Tyrosine-protein kinase JAK2",9606,"Homo sapiens",CHEMBL2971,0)	Tyrosine-protein kinase JAK2
(10939,"SINGLE PROTEIN","Ribosomal protein S6 kinase alpha 6",9606,"Homo sapiens",CHEMBL4924,0)	Ribosomal protein S6 kinase alpha 6
(10940,"SINGLE PROTEIN","Phosphofructokinase platelet type",9606,"Homo sapiens",CHEMBL2972,0)	Phosphofructokinase platelet type
(10941,"SINGLE PROTEIN","Adenylate kinase 1",9606,"Homo sapiens",CHEMBL4925,0)	Adenylate kinase 1
(10942,"SINGLE PROTEIN","Adenylate kinase 4",9606,"Homo sapiens",CHEMBL4926,0)	Adenylate kinase 4
(10944,"SINGLE PROTEIN","cAMP-dependent protein kinase type I-alpha regulatory subunit",9606,"Homo sapiens",CHEMBL4928,0)	cAMP-dependent protein kinase type I-alpha regulatory subunit
(10945,"SINGLE PROTEIN","Histone deacetylase 10",9606,"Homo sapiens",CHEMBL5103,0)	Histone deacetylase 10
(10946,"SINGLE PROTEIN","Multidrug resistance-associated protein 1",10090,"Mus musculus",CHEMBL2532,0)	Multidrug resistance-associated protein 1
(10948,"SINGLE PROTEIN","Vesicular acetylcholine transporter",10116,"Rattus norvegicus",CHEMBL2125,0)	Vesicular acetylcholine transporter
(10949,"SINGLE PROTEIN","Leukotriene B4 receptor 1",10116,"Rattus norvegicus",CHEMBL2126,0)	Leukotriene B4 receptor 1
(10950,"SINGLE PROTEIN","Sphingosine 1-phosphate receptor Edg-3",9606,"Homo sapiens",CHEMBL3892,0)	Sphingosine 1-phosphate receptor Edg-3
(10951,"SINGLE PROTEIN",P-selectin,10090,"Mus musculus",CHEMBL2455,0)	P-selectin
(10952,"SINGLE PROTEIN","Vacuolar ATP synthase subunit S1",9606,"Homo sapiens",CHEMBL4790,0)	Vacuolar ATP synthase subunit S1
(10954,"SINGLE PROTEIN","Hepatic lipase",9606,"Homo sapiens",CHEMBL2127,0)	Hepatic lipase
(10955,"SINGLE PROTEIN","Human papillomavirus regulatory protein E2",333760,"Human papillomavirus type 16",CHEMBL4656,0)	Human papillomavirus regulatory protein E2
(10956,"SINGLE PROTEIN","Luteinizing hormone/Choriogonadotropin receptor",10116,"Rattus norvegicus",CHEMBL2456,0)	Luteinizing hormone/Choriogonadotropin receptor
(10957,"SINGLE PROTEIN","Arachidonate 15-lipoxygenase, type II",9606,"Homo sapiens",CHEMBL2457,0)	Arachidonate 15-lipoxygenase, type II
(10958,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor alpha",10090,"Mus musculus",CHEMBL2128,0)	Peroxisome proliferator-activated receptor alpha
(10959,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor alpha",10116,"Rattus norvegicus",CHEMBL2129,0)	Peroxisome proliferator-activated receptor alpha
(10960,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor delta",10090,"Mus musculus",CHEMBL2458,0)	Peroxisome proliferator-activated receptor delta
(10961,"SINGLE PROTEIN","Peroxisome proliferator-activated receptor gamma",10090,"Mus musculus",CHEMBL2459,0)	Peroxisome proliferator-activated receptor gamma
(10962,"SINGLE PROTEIN","Prolyl endopeptidase",9913,"Bos taurus",CHEMBL2460,0)	Prolyl endopeptidase
